CNO,POLNO,ITEM,STD
E5600841,PR54,248,0
E5600841,PR54,259,0
E5600841,PR61,211,20
E5600841,PR61,222,100
E5600841,PR61,223,150
E5600841,PR61,236,0
E5600841,PR61,248,0
E5600841,PR61,259,0
E5600841,PC83,211,20
E5600841,PC83,222,100
E5600841,PC83,223,150
E5600841,PC83,236,0
E5600841,PC83,248,0
E5600841,PC83,259,0
E5600841,PR62,222,100
E5600841,PR62,223,150
E5600841,PR62,236,0
E5600841,PR62,248,0
E5600841,PR62,259,0
E5002890,P001,211,10
E5002890,P001,222,80
E5002890,P001,223,180
E5002890,P001,236,0
E5002890,P001,248,0
E5002890,P001,259,0
E5002890,P002,211,10
E5002890,P002,222,80
E5002890,P002,223,180
E5002890,P002,236,0
E5002890,P002,248,0
E5002890,P002,259,0
E5002890,P003,211,10
E5002890,P003,222,80
E5002890,P003,223,180
E5002890,P003,236,0
E5002890,P003,248,0
E5002890,P003,259,0
E5600056,P016,211,20
E5600056,P016,222,100
E5600056,P016,223,150
E5600056,P016,236,0
E5600056,P016,248,0
E5600056,P017,211,20
E5600056,P017,222,100
E5600056,P017,223,150
E5600056,P017,236,0
E5600056,P017,248,0
E5600056,P018,211,20
E5600056,P018,222,100
E5600056,P018,223,150
E5600056,P018,236,0
E5600056,P018,248,0
E5600056,P021,211,20
E5600056,P004,211,20
E4900333,P103,211,20
E4900333,P103,222,300
E4900333,P103,223,250
E4900333,P103,236,0
E4900333,P103,248,0
E4900333,P103,259,0
E4900333,P021,211,20
E4900333,P021,222,250
E4900333,P021,223,200
E4900333,P021,236,0
E4900333,P021,248,0
E4900333,P021,259,0
E5600850,P801,223,180
E5600850,P801,222,50
E5600850,P801,236,0
E5600850,P801,211,20
E5600850,P801,248,0
E5600850,P801,259,0
E5600841,PS11,211,20
E5600841,PPB1,211,20
E5600841,PPC1,211,20
E5600841,PPC1,222,250
E5600841,PPC1,223,200
E5600841,PPC1,236,0
E5600841,PPC1,248,0
E5600841,PPC1,259,0
E5600841,PPB1,222,250
E5600841,PPB1,223,200
E5600841,PPB1,236,0
E5600841,PPB1,248,0
E5600841,PPB1,259,0
E4900333,P002,222,250
E4900333,P002,211,20
E4900333,P002,223,200
E4900333,P002,236,0
E4900333,P002,248,0
E4900333,P002,259,0
E5600841,PS31,211,20
E5600841,PS51,211,20
E5602998,P001,211,10
E5602998,P001,222,80
E5602998,P001,223,180
E5602998,P001,236,0
E5602998,P001,248,0
E5602998,P001,259,0
E5602998,P002,211,10
E5602998,P002,222,80
E5602998,P002,223,180
E5602998,P002,236,0
E5602998,P002,248,0
E5602998,P002,259,0
E5602998,P003,211,10
E5602998,P003,222,80
E5602998,P003,223,180
E5602998,P003,236,0
E5602998,P003,248,0
E5602998,P003,259,0
E5602998,P004,211,10
E5602998,P004,222,80
E5602998,P004,223,180
E5602998,P004,236,0
E5602998,P004,248,0
E5602998,P004,259,0
E4900333,P105,211,20
E4900333,P105,222,300
E4900333,P105,259,0
E4900333,P110,211,20
E4900333,P110,222,300
E4900333,P110,223,250
E4900333,P110,236,0
E4900333,P110,248,0
E4900333,P110,259,0
E5600056,P009,211,20
E5600056,P022,211,20
E5600056,P023,211,20
E5600841,PS71,211,20
E5600332,P003,211,10
E5400878,P010,211,20
E5400878,P010,222,20
E5400878,P010,223,40
E5400878,P010,236,0
E5400878,P010,248,0
E5400878,P010,259,0
E5600850,PC01,223,150
E5600850,PC01,236,0
E5600850,PC01,248,0
E5600850,PC01,259,0
E5002890,P001,224,120
E5002890,P002,224,120
E5002890,P003,224,120
E5600850,PC01,224,100
E5602998,P001,224,120
E5602998,P002,224,120
E5602998,P003,224,120
E5602998,P004,224,120
E5600841,PS31,222,250
E5600850,PC01,211,10
E5600841,PS31,223,290
E5600841,PS31,236,0
E5600841,PS31,248,0
E5600056,P021,222,200
E5600056,P021,223,200
E5600056,P021,236,0
E5600056,P021,248,0
E5600056,P006,222,220
E5600056,P006,211,20
E5600056,P006,223,210
E5600056,P006,236,0
E5600056,P006,248,0
E5600056,P007,211,20
E5600056,P007,222,220
E5600056,P007,223,210
E5600056,P007,236,0
E5600056,P007,248,0
E5600056,P008,211,20
E5600056,P008,222,240
E5600056,P008,223,220
E5600056,P008,236,0
E5600056,P008,248,0
E5600850,PC01,226,60
E5602998,P001,226,40
E5602998,P002,226,40
E5602998,P003,226,40
E5602998,P004,226,40
E5002890,P001,226,40
E5002890,P002,226,40
E5002890,P003,226,40
E5600869,P001,211,20
E5600869,P001,222,250
E5600869,P001,223,200
E5600869,P001,236,0
E5600869,P001,248,0
E5600056,P004,222,200
E5600056,P004,223,200
E5600056,P004,236,0
E5600056,P004,248,0
E5600841,PS11,222,250
E5600841,PS11,223,290
E5600841,PS11,236,0
E5600841,PS11,259,0
E5600841,PS11,248,0
E5600841,PS31,259,0
E5600841,PS51,222,250
E5600841,PS51,223,170
E5600841,PS51,236,0
E5600841,PS51,248,0
E5600841,PS51,259,0
E5600841,PS71,222,250
E5600841,PS71,223,170
E5600841,PS71,236,0
E5600841,PS71,248,0
E5600841,PS71,259,0
E5600841,PS32,211,20
E5600798,P003,211,10
S1900685,P411,211,20
S1900685,P411,222,300
S1900685,P411,223,200
S1900685,P411,236,0
S1900685,P411,248,0
S1900569,P012,211,20
L0200473,P101,911,20
L0200473,P201,911,20
L0200473,P301,911,20
L0200473,P401,911,20
L0200473,P501,911,20
L0200473,P601,911,20
L0200473,P701,911,20
L0200473,P801,911,20
L0200473,P011,911,20
L0200473,P021,911,20
L0200633,P001,911,10
L0200633,P007,911,20
L0200633,P008,911,20
L0200633,P009,911,20
L0200633,PE01,911,20
L0200633,PL07,911,20
L0200633,PM01,911,20
L0200633,PP01,911,20
L0200633,PQ01,911,20
L9200693,P001,911,20
L9200693,P002,911,20
L9200693,P701,911,20
L9200728,P002,911,10
L9200728,P014,911,10
L9201289,P001,911,10
L9201289,P002,911,10
L0056153,P001,911,10
L0056153,P002,911,10
B2402442,P001,911,10
B2402442,P002,911,10
B2402442,P003,911,10
L0200473,P101,923,100
L0200473,P201,923,100
L0200473,P301,923,100
L0200473,P401,923,100
L0200473,P501,923,100
L0200473,P601,923,100
L0200473,P701,923,100
L0200473,P801,923,100
L0200473,P011,923,50
L0200473,P021,923,50
L0200633,P007,923,110
L0200633,P008,923,35
L0200633,P009,923,35
L0200633,PE01,923,58
L0200633,PL07,923,110
L0200633,PM01,923,58
L0200633,PP01,923,35
L0200633,PQ01,923,35
L9200693,P001,923,317.99
L9200693,P002,923,200
L9200693,P701,923,150
L9201289,P001,923,109.08
L9201289,P002,923,109.08
L0056153,P001,923,100
L0056153,P002,923,100
B2402442,P001,923,180
B2402442,P002,923,180
B2402442,P003,923,180
L9101748,P002,923,50
L9101748,P003,923,50
L0200473,P101,922,85
L0200473,P201,922,85
L0200473,P301,922,85
L0200473,P401,922,85
L0200473,P501,922,85
L0200473,P601,922,85
L0200473,P701,922,85
L0200473,P801,922,85
L0200473,P011,922,50
L0200473,P021,922,50
L0200633,P007,922,40
L0200633,P008,922,30
L0200633,P009,922,30
L0200633,PE01,922,25
L0200633,PL07,922,40
L0200633,PM01,922,25
L0200633,PP01,922,30
L0200633,PQ01,922,30
L9200693,P001,922,134.54
L9200693,P002,922,100
L9200693,P701,922,70
L9201289,P001,922,31.82
L9201289,P002,922,31.82
B2402442,P001,922,80
B2402442,P002,922,80
B2402442,P003,922,80
L9201289,P001,924,72.72
L9201289,P002,924,72.72
L0056153,P001,924,72.7
L0056153,P002,924,72.7
B2402442,P001,924,120
B2402442,P002,924,120
B2402442,P003,924,120
L9201289,P001,926,27.27
L9201289,P002,926,27.27
L0056153,P001,926,27.3
L0056153,P002,926,27.3
B2402442,P001,926,40
B2402442,P002,926,40
B2402442,P003,926,40
